unique_staying_id,study_id,location_id,Start Time,End Time,Day of Week,Time of Day,Surveyor Count,staying_microclimate,Temperature,staying_row_total,Group Size,Race Ethnicity,Gender,Age,sitting_formal_all,sitting_formal_public,Commercial Activity,commercial_buying,Eating Drinking,talking_to_others,sitting_informal,recreation_passive,standing,using_electronics,Active Recreation,leaning,living_public,commercial_observing,working_civic,staying_mobility_assist,Waiting for Transportation,Smoking,soliciting,sitting_formal_private,Conditions,commercial_selling,Intoxicated Disruptive Behavior,lying,Cultural Activity,Aggressive Disruptive Behavior,sitting_formal_commercial,commercial_selling_informal,Disruptive Behavior,Notes,sitting_formal_public_fixed,sitting_formal_public_fixed_1,sitting_formal_public_movable,subject_id,latitidue,longitude,staying_covid_mask,staying_covid_social_distance,taking_care_child,feeding_child,waiting_non_public_transportation,recreation_active_play,recreation_passive_reading_writing,other,chance_encounter,year,month,day
68,2018_Seattle_Citywide,MAP1,2018-08-11 12:41:00,2018-08-11 13:01:00,Weekend,Midday,UD4H,Heavy Clouds,71,1,1,W,Female,5-14,1,1,1,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,11
69,2018_Seattle_Citywide,MAP1,2018-08-11 12:41:00,2018-08-11 13:01:00,Weekend,Midday,UD4H,Heavy Clouds,71,1,1,W,Female,25-44,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,11
70,2018_Seattle_Citywide,MAP1,2018-08-11 16:30:00,2018-08-11 16:50:00,Weekend,Evening,UD4H,Sun-Shaded,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,11
71,2018_Seattle_Citywide,WAL3,2018-08-23 09:14:00,2018-08-23 09:34:00,Weekday,Morning,UD4H,Light Rain,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,23
72,2018_Seattle_Citywide,TUJ1,2018-08-01 08:35:00,2018-08-01 08:55:00,Weekday,Morning,UD4H,Heavy Clouds,61,1,1,W,Male,25-44,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,1
73,2018_Seattle_Citywide,TUJ1,2018-08-01 08:35:00,2018-08-01 08:55:00,Weekday,Morning,UD4H,Heavy Clouds,61,1,2,B,Male,15-24,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,1
74,2018_Seattle_Citywide,TUJ1,2018-08-01 08:35:00,2018-08-01 08:55:00,Weekday,Morning,UD4H,Heavy Clouds,61,1,2,B,Male,15-24,,,,,,1,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,1
75,2018_Seattle_Citywide,TUJ1,2018-08-01 08:35:00,2018-08-01 08:55:00,Weekday,Morning,UD4H,Heavy Clouds,61,1,1,L,Female,45-64,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,1
76,2018_Seattle_Citywide,TUJ1,2018-08-01 08:35:00,2018-08-01 08:55:00,Weekday,Morning,UD4H,Heavy Clouds,61,1,1,W,Female,25-44,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,1
77,2018_Seattle_Citywide,TUJ1,2018-08-01 08:35:00,2018-08-01 08:55:00,Weekday,Morning,UD4H,Heavy Clouds,61,1,1,W,Male,25-44,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,1
